source_pdf	domain	rows	release_bucket	publisher_or_source_family	source_url	terms_url	redistribution_status	verification_status	notes
TTP223B-data-sheet.pdf	datasheet	2	datasheet_or_vendor_manual	Tontek Design Tech / LCSC distributor mirror	https://datasheet.lcsc.com/lcsc/2103021907_Tontek-Design-Tech-TTP223-BA6_C2757936.pdf	https://www.lcsc.com/faqs/lcsc-information/terms-and-conditions	metadata_only_no_pdf_or_derivative_images_without_explicit_permission	public_distributor_pdf_verified_2026-05-26	Local PDF text matches the LCSC-hosted Tontek Design Tech TTP223-BA6/TTP223N-BA6 datasheet. Search found distributor/mirror sources but no official manufacturer source or manufacturer terms; keep public artifacts metadata-only unless the original manufacturer/distributor grants redistribution rights.
aapl-20250927.pdf	finance	6	public_company_filing_or_report	Apple / SEC EDGAR	https://www.sec.gov/Archives/edgar/data/0000320193/000032019325000079/aapl-20250927.htm	https://www.sec.gov/search-filings/edgar-search-assistance/accessing-edgar-data	metadata_ok_source_public_pdf_or_derivative_images_need_final_copyright_review	official_web_verified_2026-05-26	SEC EDGAR page confirms Apple Inc. FY2025 Form 10-K for fiscal year ended 2025-09-27, accession 0000320193-25-000079. Use EDGAR source link in public metadata; review company/filing copyright posture before redistributing rendered pages.
adrv9008-1-w-9008-2-w-9009-w-hardware-reference-manual-ug-1295.pdf	datasheet	1	datasheet_or_vendor_manual	Analog Devices	https://www.analog.com/media/en/technical-documentation/user-guides/adrv9008-1-w-9008-2-w-9009-w-hardware-reference-manual-ug-1295.pdf	https://www.analog.com/en/who-we-are/legal-and-risk-oversight/intellectual-property/copyright-notice.html	single_copy_or_prior_permission_required_for_reproduction_per_adi_notice	official_web_verified_2026-05-26	Analog Devices official UG-1295 hardware reference manual verified. Use source URL in metadata; avoid public derived page/crop release without permission.
adrv9040-reference-manual-ug-2192.pdf	datasheet	9	datasheet_or_vendor_manual	Analog Devices	https://www.analog.com/media/en/technical-documentation/user-guides/adrv9040-reference-manual-ug-2192.pdf	https://www.analog.com/en/who-we-are/legal-and-risk-oversight/intellectual-property/copyright-notice.html	single_copy_or_prior_permission_required_for_reproduction_per_adi_notice	official_web_verified_2026-05-26	Qualitative near-miss source. Analog Devices official UG-2192 reference manual verified; avoid public derived page/crop release without permission.
ads1299.pdf	datasheet	8	datasheet_or_vendor_manual	Texas Instruments	https://www.ti.com/lit/ds/symlink/ads1299.pdf	https://www.ti.com/legal/terms-conditions/copyright.html	personal_noncommercial_download_reference_only_no_further_display_reproduction_or_distribution_without_permission	official_web_verified_2026-05-26	Texas Instruments official ADS1299 datasheet verified. TI copyright terms permit personal/non-commercial download/reference but restrict further display/reproduction/distribution without permission.
aducm350_ug-587.pdf	datasheet	5	datasheet_or_vendor_manual	Analog Devices	https://www.analog.com/media/en/technical-documentation/user-guides/aducm350_ug-587.pdf	https://www.analog.com/en/who-we-are/legal-and-risk-oversight/intellectual-property/copyright-notice.html	single_copy_or_prior_permission_required_for_reproduction_per_adi_notice	official_web_verified_2026-05-26	Analog Devices official UG-587 hardware reference manual verified. Use source URL in metadata; avoid public derived page/crop release without permission.
arm1176-ch13-debug.pdf	datasheet	6	datasheet_or_vendor_manual	Arm Limited	https://developer.arm.com/documentation/ddi0301/h	https://developer.arm.com/documentation/ddi0301/h	metadata_only_no_pdf_or_derivative_images_without_explicit_permission	official_web_verified_2026-05-26	Local file is a chapter slice of Arm DDI 0301H, the ARM1176JZF-S Technical Reference Manual. Official Arm documentation page verified; local/official text carries all-rights-reserved and license-restriction language, so keep public artifacts metadata-only unless source/derivative rights are cleared.
arm1176-ch3-coproc.annot.pdf	datasheet	8	datasheet_or_vendor_manual	Arm Limited	https://developer.arm.com/documentation/ddi0301/h	https://developer.arm.com/documentation/ddi0301/h	metadata_only_no_pdf_or_derivative_images_without_explicit_permission	official_web_verified_2026-05-26	Local file is an annotated chapter slice of Arm DDI 0301H, the ARM1176JZF-S Technical Reference Manual. Official Arm documentation page verified; local/official text carries all-rights-reserved and license-restriction language, so keep public artifacts metadata-only unless source/derivative rights are cleared.
arm1176-vm.annot.pdf	datasheet	4	datasheet_or_vendor_manual	Arm Limited	https://developer.arm.com/documentation/ddi0301/h	https://developer.arm.com/documentation/ddi0301/h	metadata_only_no_pdf_or_derivative_images_without_explicit_permission	official_web_verified_2026-05-26	Local file is an annotated chapter slice of Arm DDI 0301H, the ARM1176JZF-S Technical Reference Manual. Official Arm documentation page verified; local/official text carries all-rights-reserved and license-restriction language, so keep public artifacts metadata-only unless source/derivative rights are cleared.
armv6-interrupts.annot.pdf	datasheet	2	datasheet_or_vendor_manual	Arm Limited	https://developer.arm.com/documentation/ddi0100/i	https://developer.arm.com/documentation/ddi0100/i	metadata_only_no_pdf_or_derivative_images_without_explicit_permission	official_web_verified_2026-05-26	Local file is an annotated chapter slice of Arm DDI 0100I, the ARM Architecture Reference Manual. Official Arm documentation reference verified; local text carries all-rights-reserved language, so keep public artifacts metadata-only unless source/derivative rights are cleared.
armv6.b2-memory.annot.pdf	datasheet	1	datasheet_or_vendor_manual	Arm Limited	https://developer.arm.com/documentation/ddi0100/i	https://developer.arm.com/documentation/ddi0100/i	metadata_only_no_pdf_or_derivative_images_without_explicit_permission	official_web_verified_2026-05-26	Local file is an annotated chapter slice of Arm DDI 0100I, the ARM Architecture Reference Manual. Official Arm documentation reference verified; local text carries all-rights-reserved language, so keep public artifacts metadata-only unless source/derivative rights are cleared.
armv6.b3-coprocessor.annot.pdf	datasheet	3	datasheet_or_vendor_manual	Arm Limited	https://developer.arm.com/documentation/ddi0100/i	https://developer.arm.com/documentation/ddi0100/i	metadata_only_no_pdf_or_derivative_images_without_explicit_permission	official_web_verified_2026-05-26	Local file is an annotated chapter slice of Arm DDI 0100I, the ARM Architecture Reference Manual. Official Arm documentation reference verified; local text carries all-rights-reserved language, so keep public artifacts metadata-only unless source/derivative rights are cleared.
bis_ar_2024.pdf	finance	1	public_institutional_report	Bank for International Settlements	https://www.bis.org/about/areport/areport2024.htm	https://www.bis.org/terms_conditions.htm	noncommercial_redistribution_and_limited_extracts_with_attribution_per_terms	official_web_verified_2026-05-26	BIS Annual Report 2023/24 landing page includes PDF full text. BIS terms permit non-commercial download/display/print/redistribution and limited extracts with source citation; broader reuse needs permission.
bis_qr_2024_sep.pdf	finance	3	public_institutional_report	Bank for International Settlements	https://www.bis.org/publ/qtrpdf/r_qt2409.htm	https://www.bis.org/terms_conditions.htm	noncommercial_redistribution_and_limited_extracts_with_attribution_per_terms	official_web_verified_2026-05-26	BIS Quarterly Review September 2024 landing page and PDF verified. BIS terms permit non-commercial download/display/print/redistribution and limited extracts with source citation; broader reuse needs permission.
bis_qr_2025_mar.pdf	finance	5	public_institutional_report	Bank for International Settlements	https://www.bis.org/publ/qtrpdf/r_qt2503.htm	https://www.bis.org/terms_conditions.htm	noncommercial_redistribution_and_limited_extracts_with_attribution_per_terms	official_web_verified_2026-05-26	Primary Latvia qualitative figure source. BIS Quarterly Review March 2025 landing page and PDF verified; add BIS source attribution to any figure caption using rendered page/crop assets.
boe_fsr_2024_jun.pdf	finance	2	public_institutional_report	Bank of England	https://www.bankofengland.co.uk/financial-stability-report/2024/june-2024	https://www.bankofengland.co.uk/legal	noncommercial_display_print_ok_reuse_requires_permission_or_bank_authorization	official_web_verified_2026-05-26	Bank of England June 2024 FSR page includes official report PDF. Bank legal page permits download/display/print for personal/internal non-commercial use; further reuse should follow Bank authorization guidance.
boe_fsr_2024_nov.pdf	finance	2	public_institutional_report	Bank of England	https://www.bankofengland.co.uk/financial-stability-report/2024/november-2024	https://www.bankofengland.co.uk/legal	noncommercial_display_print_ok_reuse_requires_permission_or_bank_authorization	official_web_verified_2026-05-26	Bank of England November 2024 FSR page includes official report PDF. Bank legal page permits download/display/print for personal/internal non-commercial use; further reuse should follow Bank authorization guidance.
boj_fsr_2024_apr.pdf	finance	1	public_institutional_report	Bank of Japan	https://www.boj.or.jp/en/research/brp/fsr/fsr240418a.htm	https://www.boj.or.jp/en/research/brp/fsr/fsr240418a.htm	noncommercial_quote_reproduce_or_copy_with_source_credit_commercial_permission_required	official_web_verified_2026-05-26	Bank of Japan April 2024 FSR page includes full-text PDF and notice: commercial reproduction/copying requires permission; non-commercial quoting/reproduction/copying should credit the source.
boj_fsr_2024_oct.pdf	finance	1	public_institutional_report	Bank of Japan	https://www.boj.or.jp/en/research/brp/fsr/fsr241024.htm	https://www.boj.or.jp/en/research/brp/fsr/fsr241024.htm	noncommercial_quote_reproduce_or_copy_with_source_credit_commercial_permission_required	official_web_verified_2026-05-26	Bank of Japan October 2024 FSR page includes full-text PDF and notice: commercial reproduction/copying requires permission; non-commercial quoting/reproduction/copying should credit the source.
ecb_fsr_2024_may.pdf	finance	1	public_institutional_report	European Central Bank	https://www.ecb.europa.eu/press/financial-stability-publications/fsr/html/ecb.fsr202405~7f212449c8.en.html	https://www.ecb.europa.eu/press/financial-stability-publications/fsr/html/ecb.fsr202405~7f212449c8.en.html	educational_or_noncommercial_reproduction_with_source_acknowledgement_per_page	official_web_verified_2026-05-26	ECB May 2024 FSR page states educational and non-commercial reproduction is permitted with source acknowledgement.
fed_fsr_2023_apr.pdf	finance	2	public_institutional_or_government_report	Federal Reserve	https://www.federalreserve.gov/publications/files/financial-stability-report-20230508.pdf	https://www.federalreserve.gov/website-linking-policies.htm	metadata_ok_official_pdf_public_third_party_content_needs_final_review	official_web_verified_2026-05-26	File name says April 2023; official source is the May 2023 Financial Stability Report PDF reflecting information available as of 2023-04-21. Federal Reserve linking/copyright guidance says permission for third-party copyrighted materials must be obtained from the original source.
gmsl2-general-user-guide.pdf	datasheet	2	datasheet_or_vendor_manual	Analog Devices / Maxim Integrated	https://www.analog.com/media/en/technical-documentation/user-guides/gmsl2-general-user-guide.pdf	https://www.analog.com/en/who-we-are/legal-and-risk-oversight/intellectual-property/copyright-notice.html	single_copy_or_prior_permission_required_for_reproduction_per_adi_notice	official_web_verified_2026-05-26	Analog Devices official GMSL2 General User Guide verified. Use source URL in metadata; avoid public derived page/crop release without permission.
goog-20251231.pdf	finance	6	public_company_filing_or_report	Alphabet / SEC EDGAR	https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm	https://www.sec.gov/search-filings/edgar-search-assistance/accessing-edgar-data	metadata_ok_source_public_pdf_or_derivative_images_need_final_copyright_review	official_web_verified_2026-05-26	SEC EDGAR page confirms Alphabet Inc. FY2025 Form 10-K for fiscal year ended 2025-12-31, accession 0001652044-26-000018. Use EDGAR source link in public metadata; review company/filing copyright posture before redistributing rendered pages.
imf_weo_2024_oct.pdf	finance	1	public_institutional_report	International Monetary Fund	https://www.imf.org/-/media/Files/Publications/WEO/2024/October/English/text.ashx	https://www.imf.org/en/About/copyright-and-terms	fair_use_or_personal_noncommercial_download_only_broader_reuse_requires_permission	official_web_verified_2026-05-26	Local parser-bench acquisition script contains the stable IMF WEO October 2024 URL pattern. IMF copyright terms allow personal non-commercial download/print and fair-use excerpts with citation; broader reuse/redistribution requires permission.
infineon-applicationnote-linear-mode-operation-safe-operation-diagram-mosfets-applicationnotes-en.pdf	datasheet	5	datasheet_or_vendor_manual	Infineon	https://www.infineon.com/dgdl/Infineon-ApplicationNote_Linear_Mode_Operation_Safe_Operation_Diagram_MOSFETs-AN-v01_00-EN.pdf?fileId=db3a30433e30e4bf013e3646e9381200	https://www.infineon.com/legal/usage-terms	informational_noncommercial_or_classroom_use_with_source_and_notices_no_modification	official_web_verified_2026-05-26	Official Infineon AP99007 Linear Mode Operation and Safe Operating Diagram of Power MOSFETs PDF verified. Infineon terms allow informational non-commercial or classroom use with source/copyright notices and no modification; public derived page/crop release still needs final policy review.
infineon-applicationnote-mosfet-fast-switching-motivation--implementation-and-precautions-applicationnotes-en.pdf	datasheet	4	datasheet_or_vendor_manual	Infineon	https://www.infineon.com/assets/row/public/documents/24/42/infineon-applicationnote-mosfet-fast-switching-motivation--implementation-and-precautions-applicationnotes-en.pdf	https://www.infineon.com/legal/usage-terms	informational_noncommercial_or_classroom_use_with_source_and_notices_no_modification	official_web_verified_2026-05-26	Qualitative near-miss source. Official Infineon MOSFET fast switching application note PDF verified. Infineon terms allow informational non-commercial or classroom use with source/copyright notices and no modification; public derived page/crop release still needs final policy review.
infineon-designing-with-power-mosfets-applicationnotes-en.pdf	datasheet	1	datasheet_or_vendor_manual	Infineon	https://www.infineon.com/assets/row/public/documents/24/42/infineon-designing-with-power-mosfets-applicationnotes-en.pdf	https://www.infineon.com/legal/usage-terms	informational_noncommercial_or_classroom_use_with_source_and_notices_no_modification	official_web_verified_2026-05-26	Official Infineon Designing with power MOSFETs application note PDF verified. Infineon terms allow informational non-commercial or classroom use with source/copyright notices and no modification; public derived page/crop release still needs final policy review.
infineon-power-mosfet-avalanche-design-guidelines-applicationnotes-en.pdf	datasheet	3	datasheet_or_vendor_manual	Infineon	https://www.infineon.com/assets/row/public/documents/24/42/infineon-power-mosfet-avalanche-design-guidelines-applicationnotes-en.pdf?fileId=8ac78c8c882315570188295e1c6a22f7	https://www.infineon.com/legal/usage-terms	informational_noncommercial_or_classroom_use_with_source_and_notices_no_modification	official_web_verified_2026-05-26	Official Infineon Power MOSFET avalanche design guidelines application note PDF verified. Infineon terms allow informational non-commercial or classroom use with source/copyright notices and no modification; public derived page/crop release still needs final policy review.
jpm_gtm_us_daily.pdf	finance	7	commercial_research_or_market_guide	J.P. Morgan Asset Management	https://am.jpmorgan.com/us/en/asset-management/adv/insights/market-insights/guide-to-the-markets/	https://am.jpmorgan.com/us/en/asset-management/adv/terms-of-use/	metadata_only_no_pdf_or_derivative_images_without_explicit_permission	official_web_verified_2026-05-26	Commercial Guide to the Markets PDF. Official JPM Asset Management Guide to the Markets page verified; local PDF metadata date is 2026-03-31 and official page/search result references the 2026-04-01 guide. Keep public artifacts metadata-only unless explicit permission covers PDF or derived image redistribution.
jpm_ltcma.pdf	finance	2	commercial_research_or_market_guide	J.P. Morgan Asset Management	https://am.jpmorgan.com/content/dam/jpm-am-aem/global/en/insights/portfolio-insights/ltcma/noindex/ltcma-full-report.pdf	https://am.jpmorgan.com/us/en/asset-management/adv/terms-of-use/	metadata_only_no_pdf_or_derivative_images_without_explicit_permission	official_web_verified_2026-05-26	Commercial/professional-client Long-Term Capital Market Assumptions source. Official JPM Asset Management 2026 LTCMA PDF and terms page verified; keep public artifacts metadata-only unless explicit permission covers PDF or derived image redistribution.
nRF24L01P_PS_v1.0.annot.pdf	datasheet	1	datasheet_or_vendor_manual	Nordic Semiconductor	https://docs.nordicsemi.com/en-US/bundle/nRF24L01P_PS_v1.0/resource/nRF24L01P_PS_v1.0.pdf	https://docs.nordicsemi.com/en-US/bundle/nRF24L01P_PS_v1.0/resource/nRF24L01P_PS_v1.0.pdf	metadata_ok_source_public_pdf_or_derivative_images_need_permission	no_reproduction_without_permission_notice_verified_2026-05-26	Local annotated PDF is based on Nordic nRF24L01+ Product Specification v1.0. Official Nordic TechDocs PDF verified; the PDF itself states reproduction in whole or part is prohibited without prior written permission.
opa454.pdf	datasheet	2	datasheet_or_vendor_manual	Texas Instruments	https://www.ti.com/lit/ds/symlink/opa454.pdf	https://www.ti.com/legal/terms-conditions/copyright.html	personal_noncommercial_download_reference_only_no_further_display_reproduction_or_distribution_without_permission	official_web_verified_2026-05-26	Texas Instruments official OPA454 datasheet verified. TI copyright terms permit personal/non-commercial download/reference but restrict further display/reproduction/distribution without permission.
slvaer0b.pdf	datasheet	1	datasheet_or_vendor_manual	Texas Instruments	https://www.ti.com/lit/an/slvaer0b/slvaer0b.pdf	https://www.ti.com/legal/terms-conditions/copyright.html	personal_noncommercial_download_reference_only_no_further_display_reproduction_or_distribution_without_permission	official_web_verified_2026-05-26	Texas Instruments official TPS55288 Layout Guideline Rev. B application report verified. TI copyright terms permit personal/non-commercial download/reference and classroom use under conditions, but restrict further display/reproduction/distribution without permission.
spruhm8k.pdf	datasheet	5	datasheet_or_vendor_manual	Texas Instruments	https://www.ti.com/lit/ug/spruhm8k/spruhm8k.pdf	https://www.ti.com/legal/terms-conditions/copyright.html	personal_noncommercial_download_reference_only_no_further_display_reproduction_or_distribution_without_permission	official_web_verified_2026-05-26	Texas Instruments official TMS320F2837xD Dual-Core Real-Time Microcontrollers technical reference manual Rev. K verified. TI copyright terms permit personal/non-commercial download/reference and classroom use under conditions, but restrict further display/reproduction/distribution without permission.
